datetime,machineID,Type,Air_temperature,Process_temperature,Rotational_speed,Torque,Tool_wear,Target,RUL_hours,Failure_Type,month,hour,dayofweek
2015-03-19 20:05:05,228,H,295.0,305.0,1497,40.2,118,0,20744,No Failure,3,20,3
2015-06-16 09:27:48,201,H,295.0,305.0,1494,41.0,246,0,18040,No Failure,6,9,1
2017-02-08 16:01:14,29,L,310.0,320.0,1428,64.7,300,0,656,No Failure,2,16,2
2016-02-17 00:18:19,83,M,302.1,313.4,1472,45.2,300,0,8192,No Failure,2,0,2
2015-04-09 23:11:44,205,M,300.2,310.3,1497,40.4,148,0,19304,No Failure,4,23,3
2015-07-18 20:18:53,306,H,295.0,305.0,1498,40.6,300,0,35200,No Failure,7,20,5
2015-01-21 14:17:37,333,M,300.0,310.0,1499,40.0,31,0,39496,No Failure,1,14,2
2015-11-15 18:32:33,121,L,310.0,320.0,1479,43.8,300,0,9304,No Failure,11,18,6
2015-09-17 18:27:55,176,M,302.9,314.7,1455,47.0,300,0,2664,No Failure,9,18,3
2016-09-07 00:07:36,178,H,295.0,305.0,1443,48.8,300,0,3248,No Failure,9,0,2
2016-12-12 08:42:02,72,M,307.4,320.0,1432,50.5,300,0,1448,No Failure,12,8,0
2019-03-04 08:17:38,337,L,310.0,320.0,1436,50.6,300,0,3520,No Failure,3,8,0
2016-02-16 07:01:37,164,M,303.6,315.8,1446,53.8,300,0,2432,No Failure,2,7,1
2016-07-05 11:21:13,159,M,308.9,320.0,1426,51.9,300,0,80,No Failure,7,11,1
2017-06-26 22:25:54,201,H,295.0,305.0,1425,51.9,300,0,72,No Failure,6,22,0
2016-02-21 11:26:46,284,H,295.0,305.0,1492,41.7,300,0,30032,No Failure,2,11,6
2016-01-17 23:14:19,150,M,305.0,318.0,1425,52.0,300,1,0,Random Failures,1,23,6
2016-04-03 08:31:39,69,M,307.1,320.0,1435,50.4,300,0,1120,No Failure,4,8,6
2016-08-10 08:47:18,12,M,303.9,316.2,1373,44.6,300,0,2704,No Failure,8,8,2
2016-04-21 15:20:05,89,M,303.5,316.8,1448,53.5,300,0,3256,No Failure,4,15,3
2016-11-17 19:01:19,180,M,303.8,316.1,1444,49.1,300,0,3440,No Failure,11,19,3
2016-12-05 06:49:08,134,M,304.8,317.8,1285,42.2,300,0,296,No Failure,12,6,0
2017-12-02 10:48:12,327,M,302.6,314.1,1462,46.2,300,0,14480,No Failure,12,10,5
2015-12-07 13:53:19,149,M,304.6,320.0,1433,67.1,300,0,520,No Failure,12,13,0
